City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,San Andres,CO,82.24,broken clouds,12.5847,-81.7006,Hotel Decameron Isleño
16,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
21,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti International Resort
23,Bajil,YE,75.29,clear sky,15.0584,43.2851,فندق و أجنحة الشرق الأوسط
26,Meulaboh,ID,77.02,overcast clouds,4.1363,96.1285,Hotel Meuligou
28,Butaritari,KI,81.54,scattered clouds,3.0707,172.7902,No hotel found
29,Lethem,GY,77.38,broken clouds,3.3803,-59.7968,Hotel Amazonas
35,Kapaa,US,82.72,clear sky,22.0752,-159.319,Pono Kai Resort
42,Bengkulu,ID,77.59,overcast clouds,-3.8004,102.2655,Dena Hotel
45,Hithadhoo,MV,80.85,broken clouds,-0.6,73.0833,Pebbles Inn
46,Hilo,US,85.28,clear sky,19.7297,-155.09,Dolphin Bay Hotel
48,Touros,BR,78.71,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
50,Auki,SB,81.34,overcast clouds,-8.7676,160.7034,No hotel found
62,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Page 63 hostel
64,Tual,ID,82.63,overcast clouds,-5.6667,132.75,Suita
66,Vanimo,PG,81.1,light rain,-2.6741,141.3028,CBC Guesthouse
76,Baracoa,CU,78.6,scattered clouds,20.3467,-74.4958,Casa
84,Coro,VE,76.66,clear sky,11.4045,-69.6734,Urumaco Suite
87,Atuona,PF,77.95,broken clouds,-9.8,-139.0333,Pearl Resort
88,Vila Velha,BR,76.95,overcast clouds,-20.3297,-40.2925,Hotel Prainha
90,Micheweni,TZ,77.49,light rain,-4.9667,39.8333,No hotel found
92,Cabadiangan,PH,83.93,overcast clouds,9.7531,122.4739,No hotel found
94,Caravelas,BR,75.18,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
98,Isangel,VU,85.37,overcast clouds,-19.55,169.2667,Tanna Lodge
102,Faanui,PF,80.4,few clouds,-16.4833,-151.75,Oa Oa Lodge
103,Afua,BR,76.05,few clouds,-0.1567,-50.3867,No hotel found
118,Rurrenabaque,BO,84.02,clear sky,-14.4413,-67.5278,Hostal Madidi
125,Sao Filipe,CV,75.43,overcast clouds,14.8961,-24.4956,Bela Vista
127,Puerto Escondido,MX,77.83,broken clouds,15.85,-97.0667,Hotel Barlovento
130,Kavaratti,IN,81.57,overcast clouds,10.5669,72.642,No hotel found
131,Carutapera,BR,76.39,few clouds,-1.195,-46.02,No hotel found
140,Salinopolis,BR,78.67,scattered clouds,-0.6136,-47.3561,Hotel Salinópolis
153,Tutoia,BR,78.4,overcast clouds,-2.7619,-42.2744,Pousada San Vicente
164,Canutama,BR,76.6,scattered clouds,-6.5339,-64.3831,No hotel found
178,Mackay,AU,75.69,overcast clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
182,Mandiana,GN,76.15,few clouds,10.6333,-8.6833,No hotel found
185,Tefe,BR,77.18,broken clouds,-3.3542,-64.7114,Hotel Montecarlo
186,Biak,ID,82.11,light rain,-0.9131,122.8766,No hotel found
192,Bac Lieu,VN,80.87,overcast clouds,9.285,105.7244,Khách sạn Bạc Liêu
195,Charters Towers,AU,77.29,broken clouds,-20.1,146.2667,No hotel found
196,Mayumba,GA,76.46,light rain,-3.432,10.6554,Résidence Hôtelière Fabso
