City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,74.12,91,100,20.56,overcast clouds
1,Hermanus,ZA,-34.4187,19.2345,58.8,83,100,2.17,overcast clouds
2,San Andres,CO,12.5847,-81.7006,82.24,77,52,18.14,broken clouds
3,Kashi,CN,39.4547,75.9797,17.37,25,68,0.65,broken clouds
4,Khryashchevka,RU,53.8119,49.0916,17.13,88,42,6.62,scattered clouds
5,Ostrovnoy,RU,68.0531,39.5131,23.56,89,100,6.76,overcast clouds
6,Chokurdakh,RU,70.6333,147.9167,-0.94,96,100,9.19,light snow
7,Chuy,UY,-33.6971,-53.4616,69.1,91,32,13.73,scattered clouds
8,Bluff,NZ,-46.6,168.3333,50.81,64,40,20.11,scattered clouds
9,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,8.05,light rain
10,Bambous Virieux,MU,-20.3428,57.7575,72.21,73,89,5.75,overcast clouds
11,Busselton,AU,-33.65,115.3333,66.83,68,90,9.13,overcast clouds
12,Port Elizabeth,ZA,-33.918,25.5701,65.1,93,34,1.99,scattered clouds
13,Jamestown,US,42.097,-79.2353,31.59,85,100,14.97,mist
14,Barrow,US,71.2906,-156.7887,28.42,86,100,8.05,light snow
15,Seaca De Camp,RO,43.9333,23.2167,39.85,68,100,11.1,overcast clouds
16,Avarua,CK,-21.2078,-159.775,82.45,78,75,18.41,broken clouds
17,Tasiilaq,GL,65.6145,-37.6368,37.56,93,100,18.99,light rain
18,Ushuaia,AR,-54.8,-68.3,47.86,57,20,12.66,few clouds
19,Port Alfred,ZA,-33.5906,26.891,65.17,94,100,4.83,overcast clouds
20,Lompoc,US,34.6391,-120.4579,57.78,83,100,6.91,overcast clouds
21,Vaini,TO,-21.2,-175.2,84.36,79,75,8.05,broken clouds
22,Binzhou,CN,37.3667,118.0167,22.73,18,0,4.92,clear sky
23,Bajil,YE,15.0584,43.2851,75.29,76,1,2.89,clear sky
24,Albany,US,42.6001,-73.9662,42.94,72,79,13.38,broken clouds
25,Punta Arenas,CL,-53.15,-70.9167,50.11,53,93,20.69,overcast clouds
26,Meulaboh,ID,4.1363,96.1285,77.02,87,100,2.71,overcast clouds
27,Kaitangata,NZ,-46.2817,169.8464,58.05,65,74,11.63,broken clouds
28,Butaritari,KI,3.0707,172.7902,81.54,76,48,12.46,scattered clouds
29,Lethem,GY,3.3803,-59.7968,77.38,76,83,8.72,broken clouds
30,Mataura,NZ,-46.1927,168.8643,50.49,85,98,8.14,overcast clouds
31,Olafsvik,IS,64.8945,-23.7142,43.59,80,44,33.6,scattered clouds
32,Great Falls,US,47.5002,-111.3008,36.79,60,100,20.71,overcast clouds
33,New Norfolk,AU,-42.7826,147.0587,59.72,34,12,1.45,few clouds
34,Hobart,AU,-42.8794,147.3294,60.06,52,75,9.22,broken clouds
35,Kapaa,US,22.0752,-159.319,82.72,70,0,20.71,clear sky
36,Cidreira,BR,-30.1811,-50.2056,69.98,95,100,11.9,overcast clouds
37,Okhotsk,RU,59.3833,143.3,-2.13,98,100,12.68,light snow
38,Khatanga,RU,71.9667,102.5,-26.5,95,100,7.45,overcast clouds
39,Tezu,IN,27.9167,96.1667,64.24,47,33,3.94,scattered clouds
40,Ukiah,US,39.1502,-123.2078,51.69,68,100,6.91,overcast clouds
41,Iqaluit,CA,63.7506,-68.5145,-20.31,68,70,13.0,broken clouds
42,Bengkulu,ID,-3.8004,102.2655,77.59,76,97,3.27,overcast clouds
43,Mehamn,NO,71.0357,27.8492,31.95,86,100,5.75,overcast clouds
44,Saint George,US,37.1041,-113.5841,51.94,29,0,6.91,clear sky
45,Hithadhoo,MV,-0.6,73.0833,80.85,69,60,6.76,broken clouds
46,Hilo,US,19.7297,-155.09,85.28,81,0,9.22,clear sky
47,Torbay,CA,47.6666,-52.7314,23.5,62,0,8.21,clear sky
48,Touros,BR,-5.1989,-35.4608,78.71,70,98,10.96,overcast clouds
49,Nadapuram,IN,11.7,75.6667,70.52,76,55,5.37,broken clouds
50,Auki,SB,-8.7676,160.7034,81.34,82,99,6.2,overcast clouds
51,Rikitea,PF,-23.1203,-134.9692,73.26,72,72,12.84,broken clouds
52,Tuktoyaktuk,CA,69.4541,-133.0374,2.64,95,100,8.12,light snow
53,Sydney,AU,-33.8679,151.2073,71.35,64,75,13.8,light rain
54,Ostersund,SE,63.1792,14.6357,31.6,100,100,13.0,mist
55,Jalu,LY,29.0331,21.5482,55.9,44,0,4.76,clear sky
56,Moree,AU,-29.4667,149.85,73.9,42,100,6.93,overcast clouds
57,Kodiak,US,57.79,-152.4072,26.11,74,0,4.61,clear sky
58,Cape Town,ZA,-33.9258,18.4232,71.38,81,100,3.44,overcast clouds
59,Ouesso,CG,1.6136,16.0517,68.56,99,100,1.95,overcast clouds
60,Asau,RO,46.4333,26.4,31.28,96,100,2.73,overcast clouds
61,Bredasdorp,ZA,-34.5322,20.0403,62.51,83,92,3.02,overcast clouds
62,Georgetown,MY,5.4112,100.3354,80.89,84,20,3.44,few clouds
63,Pahalgam,IN,34.0333,75.3333,31.06,44,12,9.66,few clouds
64,Tual,ID,-5.6667,132.75,82.63,73,100,18.34,overcast clouds
65,Puerto Ayora,EC,-0.7393,-90.3518,69.55,89,58,7.0,broken clouds
66,Vanimo,PG,-2.6741,141.3028,81.1,85,100,3.76,light rain
67,Adrar,MR,20.5022,-10.0711,65.12,19,9,9.24,clear sky
68,Narsaq,GL,60.9167,-46.05,28.62,91,78,2.89,broken clouds
69,Lavrentiya,RU,65.5833,-171.0,20.1,91,90,6.98,overcast clouds
70,Lima,PE,-12.0432,-77.0282,68.25,68,0,12.66,clear sky
71,Esso,RU,55.9333,158.7,20.05,89,100,7.34,light snow
72,Berea,US,41.3662,-81.8543,32.23,67,100,28.77,overcast clouds
73,Mar Del Plata,AR,-38.0023,-57.5575,63.09,96,100,11.01,light rain
74,Zharkent,KZ,44.1628,80.0,30.7,59,100,7.38,overcast clouds
75,Jinchang,CN,38.4953,102.1739,13.35,53,26,3.6,scattered clouds
76,Baracoa,CU,20.3467,-74.4958,78.6,79,45,13.56,scattered clouds
77,Hanzhong,CN,33.0728,107.0303,27.36,83,98,2.33,overcast clouds
78,Khotynets,RU,53.1286,35.3966,22.89,79,100,9.6,overcast clouds
79,Leshukonskoye,RU,64.8989,45.7622,22.12,98,96,3.06,overcast clouds
80,Emba,KZ,48.8264,58.1442,12.2,49,4,10.71,clear sky
81,Yellowknife,CA,62.456,-114.3525,-17.45,75,100,4.0,overcast clouds
82,Valparaiso,CL,-33.0393,-71.6273,58.64,77,20,8.05,few clouds
83,Kunagota,HU,46.4333,21.05,32.11,84,98,3.53,overcast clouds
84,Coro,VE,11.4045,-69.6734,76.66,84,7,7.96,clear sky
85,Maniitsoq,GL,65.4167,-52.9,19.65,73,90,33.46,overcast clouds
86,Prestea,GH,5.4327,-2.1428,73.58,96,25,1.63,light rain
87,Atuona,PF,-9.8,-139.0333,77.95,74,65,12.97,broken clouds
88,Vila Velha,BR,-20.3297,-40.2925,76.95,94,100,6.91,overcast clouds
89,Lagoa,PT,39.05,-27.9833,61.61,74,0,6.4,clear sky
90,Micheweni,TZ,-4.9667,39.8333,77.49,83,88,7.07,light rain
91,Mpanda,TZ,-6.3655,31.0409,64.51,96,100,2.01,light rain
92,Cabadiangan,PH,9.7531,122.4739,83.93,73,96,12.48,overcast clouds
93,Clyde River,CA,70.4692,-68.5914,-27.44,92,25,5.5,scattered clouds
94,Caravelas,BR,-17.7125,-39.2481,75.18,95,100,3.74,overcast clouds
95,East London,ZA,-33.0153,27.9116,70.56,90,100,2.51,overcast clouds
96,Spornoye,RU,50.8448,37.2913,25.47,54,100,13.31,overcast clouds
97,Carnarvon,AU,-24.8667,113.6333,73.53,66,9,8.68,clear sky
98,Isangel,VU,-19.55,169.2667,85.37,68,87,10.36,overcast clouds
99,Empalme,MX,27.9667,-110.8167,70.36,82,75,14.97,broken clouds
100,Milkovo,RU,54.7167,158.6167,24.48,75,5,7.56,clear sky
101,Cherskiy,RU,68.75,161.3,8.96,95,100,6.26,light snow
102,Faanui,PF,-16.4833,-151.75,80.4,78,16,14.58,few clouds
103,Afua,BR,-0.1567,-50.3867,76.05,88,15,6.71,few clouds
104,Krasnoselkup,RU,65.7,82.4667,-0.98,96,100,10.09,overcast clouds
105,Wanganui,NZ,-39.9333,175.05,62.6,74,67,18.01,broken clouds
106,Tiksi,RU,71.6872,128.8694,-11.99,99,100,14.88,overcast clouds
107,Kruisfontein,ZA,-34.0033,24.7314,62.89,86,11,1.39,few clouds
108,Bethel,US,41.3712,-73.414,52.11,63,100,11.5,overcast clouds
109,Aykhal,RU,66.0,111.5,-24.65,97,100,14.99,light snow
110,Pevek,RU,69.7008,170.3133,8.06,89,100,5.53,overcast clouds
111,Westport,US,41.1415,-73.3579,54.09,67,100,24.16,overcast clouds
112,Ponta Do Sol,PT,32.6667,-17.1,69.71,74,81,8.23,broken clouds
113,Havre-Saint-Pierre,CA,50.2334,-63.5986,21.56,93,100,11.5,overcast clouds
114,Malko Tarnovo,BG,41.9833,27.5333,46.4,98,100,10.96,light rain
115,Mokhsogollokh,RU,61.4681,128.9203,-16.33,94,100,5.95,overcast clouds
116,Bud,US,39.447,-86.1758,30.45,70,0,13.96,clear sky
117,Saint-Philippe,RE,-21.3585,55.7679,72.99,78,40,7.78,scattered clouds
118,Rurrenabaque,BO,-14.4413,-67.5278,84.02,52,0,4.72,clear sky
119,Maxixe,MZ,-23.8597,35.3472,71.19,84,52,8.95,light rain
120,Airai,TL,-8.9266,125.4092,69.85,73,97,2.01,overcast clouds
121,Husavik,IS,66.0449,-17.3389,41.58,89,51,10.87,broken clouds
122,Kyra,RU,49.5776,111.9753,-9.29,83,48,5.53,scattered clouds
123,Te Anau,NZ,-45.4167,167.7167,61.9,46,15,4.99,few clouds
124,Chulym,RU,55.0997,80.9572,-11.29,95,18,5.17,few clouds
125,Sao Filipe,CV,14.8961,-24.4956,75.43,65,100,8.25,overcast clouds
126,Veraval,IN,20.9,70.3667,71.65,42,0,10.8,clear sky
127,Puerto Escondido,MX,15.85,-97.0667,77.83,65,75,8.05,broken clouds
128,Luderitz,NA,-26.6481,15.1594,63.64,73,2,10.09,clear sky
129,Saint Anthony,US,45.0205,-93.218,16.25,73,0,11.5,clear sky
130,Kavaratti,IN,10.5669,72.642,81.57,71,100,3.38,overcast clouds
131,Carutapera,BR,-1.195,-46.02,76.39,87,24,4.07,few clouds
132,Tres Lagoas,BR,-20.7511,-51.6783,72.82,71,28,1.79,scattered clouds
133,Castro,BR,-24.7911,-50.0119,60.15,98,74,4.45,broken clouds
134,Victoria,HK,22.2855,114.1577,61.32,75,100,15.01,overcast clouds
135,San Patricio,US,28.017,-97.5169,60.84,55,0,11.65,clear sky
136,Proletarskiy,RU,50.7914,35.7731,27.37,50,100,13.53,overcast clouds
